Tahun,Provinsi,Kabupaten/Kota,Rumah Tangga(ton),Perkantoran(ton),Pasar(ton),Perniagaan(ton),Fasilitas Publik(ton),Kawasan(ton),Lain(ton)
2021,Aceh,Kab. Aceh Barat,30,15.28,30,5,10,5,5
2021,Aceh,Kab. Pidie,5.74,0.4,2.84,2.01,0.5,0.67,1.3
2021,Aceh,Kab. Gayo Lues,16,6,11,2,3,,2
2021,Aceh,Kab. Aceh Jaya,,,,,,,
2021,Aceh,Kota Banda Aceh,190.29,0.57,9.23,46.18,2.36,0,0.05
2021,Aceh,Kota Langsa,10,2.2,14,12,12.08,2.5,
2021,Aceh,Kota Subulussalam,26,1.5,6,2.5,4,26,
2021,Sumatera Utara,Kab. Tapanuli Tengah,,,,,,,
2021,Sumatera Utara,Kab. Tapanuli Utara,2,2,0.51,0.5,2,1,
2021,Sumatera Utara,Kab. Langkat,8.5,5.4,7.6,6,3.9,1.9,2.8
2021,Sumatera Utara,Kab. Karo,49.25,35.94,60.14,35.94,24.9,24.25,13.98
2021,Sumatera Utara,Kab. Deli Serdang,477.07,67.87,255.5,67.87,100.5,25.95,123.4
2021,Sumatera Utara,Kab. Simalungun,,,,,,,
2021,Sumatera Utara,Kab. Asahan,,,,,,,
2021,Sumatera Utara,Kab. Dairi,,,,,,,
2021,Sumatera Utara,Kab. Toba,,,,,,,
2021,Sumatera Utara,Kab. Samosir,16,3,10,5,1,4,1
2021,Sumatera Utara,Kota Medan,,,,,,,
2021,Sumatera Utara,Kota Pematang Siantar,162,5.4,22.02,12,6,12,13.6
2021,Sumatera Utara,Kota Tebing Tinggi,74.66,9.43,21.17,8.81,4.36,3.67,0.39
2021,Sumatera Barat,Kab. Pesisir Selatan,,,,,,,
2021,Sumatera Barat,Kab. Sijunjung,14.6,7.3,9.2,0.9,2.2,0.7,
2021,Sumatera Barat,Kab. Tanah Datar,88.6,0.28,17.75,1.54,12.27,,
2021,Sumatera Barat,Kab. Agam,,,,,,,
2021,Sumatera Barat,Kab. Lima Puluh Kota,,,,,,,
2021,Sumatera Barat,Kab. Pasaman,,,,,,,
2021,Sumatera Barat,Kab. Dharmasraya,,2.29,0.94,,0.1,,11.2
2021,Sumatera Barat,Kab. Solok Selatan,17.39,0.2,2.01,5.21,,,
2021,Sumatera Barat,Kota Padang,462,14,88,20,40.41,7,8
2021,Sumatera Barat,Kota Solok,32.32,0.51,16.21,0.43,1.24,0.05,1.72
2021,Sumatera Barat,Kota Sawahlunto,,,,,,,
2021,Sumatera Barat,Kota Padang Panjang,38.13,0.36,6.76,1.52,1,0.01,0.63
2021,Sumatera Barat,Kota Payakumbuh,77.8,0.75,9.29,6.76,3.33,0.35,0.54
2021,Riau,Kab. Kampar,,,,,,,
2021,Riau,Kab. Bengkalis,,,,,,,
2021,Riau,Kab. Indragiri Hilir,303.82,0.9,4.07,2.88,6.7,,
2021,Riau,Kab. Siak,17.4,4.5,7,2,4.3,2.8,1
2021,Riau,Kota Pekanbaru,,,,,,,
2021,Riau,Kota Dumai,,,,,,,
2021,Jambi,Kab. Merangin,30,10,30,5,20,5,
2021,Jambi,Kab. Bungo,16.7,1.5,67.3,1.5,1.2,2.6,64.6
2021,Jambi,Kota Jambi,51.3,2.45,18.7,9.24,6.27,3.79,8.25
2021,Sumatera Selatan,Kab. Ogan Komering Ulu,51.85,0.5,2.8,0.2,0.15,1.5,
2021,Sumatera Selatan,Kab. Muara Enim,60.6,25.7,57.9,4,0.1,0.1,
2021,Sumatera Selatan,Kab. Lahat,60,1,5,2,0.5,,4
2021,Sumatera Selatan,Kab. Musi Banyuasin,145,12,21,25,13,20,23
2021,Sumatera Selatan,Kota Palembang,808.13,14.41,99.75,149.15,91.44,15.17,2.2
2021,Sumatera Selatan,Kota Prabumulih,22585.13,5211.95,2084.78,1737.32,1737.32,694.93,694.93
2021,Bengkulu,Kab. Seluma,4.25,,,,,,
2021,Bengkulu,Kab. Kepahiang,,,,,,,
2021,Lampung,Kab. Lampung Tengah,50,5,35,5,5,,
2021,Lampung,Kab. Tanggamus,138.6,4.2,76.5,19.4,9.4,4.2,8.5
2021,Lampung,Kab. Way Kanan,301.74,2.36,10.8,0.84,0.08,,22.62
2021,Lampung,Kab. Pesawaran,129,11,42,17,17,16,19
2021,Lampung,Kab. Pringsewu,,,,,,,
2021,Lampung,Kota Bandar Lampung,40.9,8.2,17.3,18.1,6.3,5.8,3.4
2021,Lampung,Kota Metro,49.37,9.31,18.56,11.35,8.04,5.13,2.09
2021,Kepulauan Bangka Belitung,Kab. Bangka,79.79,6.62,17.57,9.92,3.84,5.1,7.65
2021,Kepulauan Bangka Belitung,Kab. Belitung,28,0.8,6,2.5,2.5,2.5,2.7
2021,Kepulauan Bangka Belitung,Kab. Bangka Selatan,25,2,7,5,10,15,16
2021,Kepulauan Bangka Belitung,Kab. Bangka Tengah,,,,,,,
2021,Kepulauan Bangka Belitung,Kab. Belitung Timur,,,,,,,
2021,Kepulauan Bangka Belitung,Kota Pangkal Pinang,47.7,7.3,21.1,8.6,4.3,6.2,4.8
2021,Kepulauan Riau,Kota Tanjung Pinang,,,,,,,
2021,DKI Jakarta,Kab. Adm. Kep. Seribu,,,,,,,
2021,DKI Jakarta,Kota Adm. Jakarta Pusat,,,,,,,
2021,DKI Jakarta,Kota Adm. Jakarta Utara,,,,,,,
2021,DKI Jakarta,Kota Adm. Jakarta Barat,,,,,,,
2021,DKI Jakarta,Kota Adm. Jakarta Selatan,,,,,,,
2021,DKI Jakarta,Kota Adm. Jakarta Timur,,,,,,,
2021,Jawa Barat,Kab. Sukabumi,10.89,10.01,10.22,21.44,20.46,9.79,17.19
2021,Jawa Barat,Kab. Bandung,,,,,,,
2021,Jawa Barat,Kab. Garut,,,,,,,
2021,Jawa Barat,Kab. Ciamis,281.8,23,94.9,97.8,28.8,23,23
2021,Jawa Barat,Kab. Kuningan,,,,,,,
2021,Jawa Barat,Kab. Cirebon,,,,,,,
2021,Jawa Barat,Kab. Sumedang,320,1.5,45,4,0.5,16,55
2021,Jawa Barat,Kab. Indramayu,242.58,88.21,165.39,110.27,110.26,220.52,165.39
2021,Jawa Barat,Kota Bogor,418.73,33.77,87.8,47.28,20.26,27.01,40.52
2021,Jawa Barat,Kota Sukabumi,154.42,3.03,5.66,2.98,12.56,0.59,
2021,Jawa Barat,Kota Bandung,955.53,63.7,159.25,95.55,211.81,79.63,27.08
2021,Jawa Barat,Kota Cirebon,92.53,1.27,8.01,58,22.09,13.89,8.68
2021,Jawa Barat,Kota Bekasi,921,47,435,211,69,73,24
2021,Jawa Barat,Kota Depok,156.2,7.4,104.2,29.8,409.2,22.3,14.9
2021,Jawa Barat,Kota Cimahi,,,,,,,
2021,Jawa Tengah,Kab. Cilacap,724.6,0.48,44.61,0.17,8.89,6.1,6.12
2021,Jawa Tengah,Kab. Banyumas,99999.99,16242,35733,68218,19491,12994,9747
2021,Jawa Tengah,Kab. Purbalingga,69.55,3.17,8.72,1.55,10.85,1.9,13.26
2021,Jawa Tengah,Kab. Purworejo,92.96,0.2,0.34,0.2,0.58,,
2021,Jawa Tengah,Kab. Wonosobo,,,,,,,
2021,Jawa Tengah,Kab. Magelang,,,,,,,
2021,Jawa Tengah,Kab. Boyolali,,,,,,,
2021,Jawa Tengah,Kab. Klaten,142.44,0.73,2.62,1.2,13.73,14,
2021,Jawa Tengah,Kab. Sukoharjo,172.54,32.35,50.32,43.13,17.98,28.76,14.38
2021,Jawa Tengah,Kab. Wonogiri,,,,,,,
2021,Jawa Tengah,Kab. Karanganyar,350,,3600,,,,
2021,Jawa Tengah,Kab. Sragen,196.5,77.2,143.6,46.6,10.41,105.38,6.48
2021,Jawa Tengah,Kab. Grobogan,,,,,,,
2021,Jawa Tengah,Kab. Blora,92,23,46,25,23,14,7
2021,Jawa Tengah,Kab. Rembang,52.28,3.68,1661.23,0.02,152,,11.86
2021,Jawa Tengah,Kab. Pati,,,,,,,
2021,Jawa Tengah,Kab. Kudus,,,,,,,
2021,Jawa Tengah,Kab. Jepara,,,,,,,
2021,Jawa Tengah,Kab. Demak,65,,12,,,,
2021,Jawa Tengah,Kab. Semarang,20,10,30,10,10,10,10
2021,Jawa Tengah,Kab. Temanggung,265.09,24.68,23.66,43.58,76.51,,46.64
2021,Jawa Tengah,Kab. Kendal,71.6,2.05,12.58,2.01,2.2,8.8,7.04
2021,Jawa Tengah,Kab. Batang,,,,,,,
2021,Jawa Tengah,Kab. Pekalongan,197.64,34.88,19.38,19.38,15.5,100.76,
2021,Jawa Tengah,Kab. Pemalang,,,,,,,
2021,Jawa Tengah,Kab. Tegal,,,,,,,
2021,Jawa Tengah,Kab. Brebes,50,4,36,1,1,1,7
2021,Jawa Tengah,Kota Magelang,,,,,,,
2021,Jawa Tengah,Kota Salatiga,,,,,,,
2021,Jawa Tengah,Kota Semarang,432.28,35.85,51.95,16.17,30.46,84.28,530
2021,Jawa Tengah,Kota Tegal,159.7,0.23,7.5,23.41,10.5,12.51,45.73
2021,D.I. Yogyakarta,Kab. Kulon Progo,0.43,,0.23,,,,
2021,D.I. Yogyakarta,Kab. Gunungkidul,,,,,,,
2021,D.I. Yogyakarta,Kab. Sleman,,,,,,,
2021,D.I. Yogyakarta,Kota Yogyakarta,180.63,2.13,31.43,72.43,37.8,1.07,1.91
2021,Jawa Timur,Kab. Pacitan,13.8,0,15.2,0.92,0.81,1.22,1
2021,Jawa Timur,Kab. Ponorogo,37.5,3.22,16.4,7.29,5.25,15.74,14.6
2021,Jawa Timur,Kab. Trenggalek,,,,,,,
2021,Jawa Timur,Kab. Blitar,,,,,,,
2021,Jawa Timur,Kab. Kediri,,,,,,,
2021,Jawa Timur,Kab. Malang,,,,,,,
2021,Jawa Timur,Kab. Lumajang,,,,,,,
2021,Jawa Timur,Kab. Banyuwangi,0.07,0,0.25,0.05,0.56,0.15,0.01
2021,Jawa Timur,Kab. Situbondo,,,,,,,
2021,Jawa Timur,Kab. Sidoarjo,236.6,17.7,47.3,130.1,17.7,118.3,23.7
2021,Jawa Timur,Kab. Jombang,84.05,0.6,29.19,1.2,4.2,1.2,1.81
2021,Jawa Timur,Kab. Nganjuk,181.32,22.95,94.99,8.88,23.3,47.63,64.81
2021,Jawa Timur,Kab. Magetan,14.94,,12.86,,,,
2021,Jawa Timur,Kab. Ngawi,,,,,,,
2021,Jawa Timur,Kab. Bojonegoro,,,,,,,
2021,Jawa Timur,Kab. Tuban,354,12,39,15,24,18,30
2021,Jawa Timur,Kab. Lamongan,30.14,0.28,0.32,0.41,0.5,10.21,58.14
2021,Jawa Timur,Kab. Pamekasan,240,3,10,6,5,2.5,6
2021,Jawa Timur,Kab. Sumenep,360.2,0.61,5.4,1.15,39.01,19.08,24.84
2021,Jawa Timur,Kota Kediri,,,,,,,
2021,Jawa Timur,Kota Blitar,68.08,0.7,2.1,1.4,1.1,0.4,1.4
2021,Jawa Timur,Kota Malang,,,,,,,
2021,Jawa Timur,Kota Probolinggo,49.68,0.4,14.2,2.5,0.8,1.8,0.9
2021,Jawa Timur,Kota Pasuruan,76.14,0.66,19.69,1.31,16.41,6.56,10.5
2021,Jawa Timur,Kota Mojokerto,77.5,4.5,7.5,3.9,2.1,4.5,
2021,Jawa Timur,Kota Madiun,,,,,,,
2021,Jawa Timur,Kota Batu,15000,10000,12000,4000.47,762,,
2021,Banten,Kab. Serang,,,,,,,
2021,Banten,Kota Serang,260,63,43.2,995,171.55,239.5,162.1
2021,Banten,Kota Tangerang Selatan,,,,,,,
2021,Bali,Kab. Jembrana,56.38,2.8,12.4,15.4,7.32,3.1,2.6
2021,Bali,Kab. Tabanan,,,530,,,,
2021,Bali,Kab. Badung,,,,,,,
2021,Bali,Kab. Gianyar,398,4.61,16.15,,7.17,48.96,2.08
2021,Bali,Kab. Bangli,82.14,0.02,5.94,0.45,4.08,1.2,2.76
2021,Bali,Kab. Buleleng,527.27,1.56,6.78,1.36,1.16,0.53,0.39
2021,Bali,Kota Denpasar,,,,,,,
2021,Nusa Tenggara Barat,Kab. Lombok Timur,90.24,0.15,15,3,10.73,0.47,21
2021,Nusa Tenggara Barat,Kab. Lombok Utara,,,,,,,
2021,Nusa Tenggara Barat,Kota Mataram,174.23,5.28,34.32,23.76,10.56,7.92,7.92
2021,Nusa Tenggara Timur,Kab. Alor,,,,,,,
2021,Nusa Tenggara Timur,Kab. Manggarai Barat,60,0.1,5.03,17.6,13.88,0.65,6.81
2021,Nusa Tenggara Timur,Kab. Sumba Tengah,10.14,0.52,7.54,1.56,3.12,0.26,2.86
2021,Kalimantan Barat,Kab. Sambas,277.38,0.9,37.6,,,,
2021,Kalimantan Barat,Kab. Mempawah,,,,,,,
2021,Kalimantan Barat,Kab. Sanggau,238.7,0.26,0.16,8.03,,,
2021,Kalimantan Barat,Kab. Melawi,,,,,,,
2021,Kalimantan Barat,Kota Pontianak,,,,,,,
2021,Kalimantan Barat,Kota Singkawang,,,,,,,
2021,Kalimantan Tengah,Kab. Kapuas,8.9,0.61,4.95,3.83,1.45,1.57,
2021,Kalimantan Tengah,Kab. Barito Utara,32.5,5.2,24,2,1.5,2,1.5
2021,Kalimantan Tengah,Kab. Gunung Mas,94.78,2.35,8,,,,23.93
2021,Kalimantan Tengah,Kab. Pulang Pisau,38.1,0.1,2.3,6.5,3.9,0,
2021,Kalimantan Tengah,Kab. Murung Raya,9.73,0.02,5,8.66,4.32,0.3,0
2021,Kalimantan Tengah,Kab. Barito Timur,5.94,,4.5,,1.4,0.5,0.7
2021,Kalimantan Tengah,Kota Palangkaraya,69.27,20.36,18.88,13.9,5.85,3.05,16.61
2021,Kalimantan Selatan,Kab. Tanah Laut,14.4,1.8,7.2,2.7,2.25,1.2,0.45
2021,Kalimantan Selatan,Kab. Kotabaru,,,,,,,
2021,Kalimantan Selatan,Kab. Banjar,,,,,,,
2021,Kalimantan Selatan,Kab. Barito Kuala,37.5,9.3,19,10.5,14.7,4,5
2021,Kalimantan Selatan,Kab. Tapin,61.02,1.93,6.04,2.19,2.7,2.09,1.38
2021,Kalimantan Selatan,Kab. Hulu Sungai Selatan,48.31,0.79,35.02,5.69,4.71,3.6,1.88
2021,Kalimantan Selatan,Kab. Hulu Sungai Tengah,18.3,2.79,20.5,8,2.1,2,1.63
2021,Kalimantan Selatan,Kab. Hulu Sungai Utara,23.69,0.63,16.93,2.91,6.43,11.51,5.79
2021,Kalimantan Selatan,Kab. Tabalong,37.56,6.92,18.78,20.76,6.92,6.92,1
2021,Kalimantan Selatan,Kab. Tanah Bumbu,,,,,,,
2021,Kalimantan Selatan,Kab. Balangan,26.76,5.16,9.94,6.72,2.78,3.9,1.3
2021,Kalimantan Selatan,Kota Banjarmasin,332.48,3.55,76.68,26.49,56.32,10.64,0.3
2021,Kalimantan Selatan,Kota Banjarbaru,,,,,,,
2021,Kalimantan Timur,Kab. Paser,81.43,2.29,10.31,5.73,2.29,2.29,
2021,Kalimantan Timur,Kab. Kutai Kartanegara,61.52,8.61,1.14,5.8,55.34,89.23,0.95
2021,Kalimantan Timur,Kab. Kutai Timur,55,4,20,4,7,7,3
2021,Kalimantan Timur,Kab. Penajam Paser Utara,13,2,5,2.5,2,1.5,2
2021,Kalimantan Timur,Kota Balikpapan,336.66,9.02,29.66,42.03,21.9,6.28,19.39
2021,Kalimantan Timur,Kota Samarinda,,,,,,,
2021,Kalimantan Timur,Kota Bontang,82.2,5.06,5.91,,3.03,,3.8
2021,Kalimantan Utara,Kab. Nunukan,,,,,,,
2021,Sulawesi Utara,Kab. Minahasa,,,,,,,
2021,Sulawesi Utara,Kab. Minahasa Selatan,15,0.5,4,0.8,0.7,1,1
2021,Sulawesi Utara,Kab. Minahasa Utara,52000,7250,28000,8800,6000,9350,1500
2021,Sulawesi Utara,Kab. Minahasa Tenggara,,,,,,,
2021,Sulawesi Utara,Kab. Bolaang Mongondow Utara,40,10,10,5,20,5,10
2021,Sulawesi Utara,Kab. Kep. Siau Tagulandang Biaro,,,,,,,
2021,Sulawesi Utara,Kab. Bolaang Mongondow Selatan,25,15,20,15,15,5,5
2021,Sulawesi Utara,Kota Manado,,,,,,,
2021,Sulawesi Utara,Kota Bitung,54.62,3.55,5.95,10.72,42.81,30.25,10.6
2021,Sulawesi Utara,Kota Tomohon,,,,,,,
2021,Sulawesi Utara,Kota Kotamobagu,49.35,6.21,11.9,7.2,6.45,,5.39
2021,Sulawesi Tengah,Kab. Donggala,3,0.5,2,1.5,1.69,1,1
2021,Sulawesi Tengah,Kab. Parigi Moutong,,,,,,,
2021,Sulawesi Tengah,Kab. Banggai Laut,,,,,,,
2021,Sulawesi Tengah,Kota Palu,,,,,,,
2021,Sulawesi Selatan,Kab. Kepulauan Selayar,,,,,,,
2021,Sulawesi Selatan,Kab. Bulukumba,,,,,,,
2021,Sulawesi Selatan,Kab. Bantaeng,31.37,0.92,1.8,2.3,0.09,,3.12
2021,Sulawesi Selatan,Kab. Jeneponto,0.99,0.33,6.6,3.3,3.96,0.49,3.79
2021,Sulawesi Selatan,Kab. Sinjai,54.4,0.73,21.16,12.09,6.04,9.07,4.82
2021,Sulawesi Selatan,Kab. Bone,190,34.1,73.6,29.3,22.7,16.3,11.5
2021,Sulawesi Selatan,Kab. Maros,,,,,,,
2021,Sulawesi Selatan,Kab. Pangkajene Kepulauan,84.09,5.14,23.71,19.65,1.18,4.04,0.47
2021,Sulawesi Selatan,Kab. Barru,45.57,7.6,4.56,2.28,4.56,7.6,3.8
2021,Sulawesi Selatan,Kab. Soppeng,,,,,,,
2021,Sulawesi Selatan,Kab. Wajo,64.73,12.3,20.36,17.04,7.2,4.46,25.55
2021,Sulawesi Selatan,Kab. Sidenreng Rappang,93.06,4.45,7.2,3.49,8.89,2.22,8.68
2021,Sulawesi Selatan,Kab. Pinrang,,,,,,,
2021,Sulawesi Selatan,Kab. Enrekang,,,,,,,
2021,Sulawesi Selatan,Kab. Luwu,135.87,0.15,12.67,0.81,1.57,0.99,0.12
2021,Sulawesi Selatan,Kab. Luwu Timur,46.2,11.2,22.7,11.3,5.9,5.9,16.8
2021,Sulawesi Selatan,Kota Makassar,,,,,,,
2021,Sulawesi Selatan,Kota Pare Pare,32.75,5.25,15.9,8.75,4.1,7.5,2
2021,Sulawesi Selatan,Kota Palopo,6.7,0.5,13,3.9,3.6,3,3
2021,Sulawesi Tenggara,Kab. Kolaka Utara,,,,,,,
2021,Sulawesi Tenggara,Kota Kendari,163.02,8.12,18.78,2.18,2.45,5.23,1.58
2021,Gorontalo,Kab. Pohuwato,6.4,1.1,3.3,1.2,0.9,0.5,1.5
2021,Gorontalo,Kota Gorontalo,33,15,1700,21,10,4,
2021,Sulawesi Barat,Kab. Mamuju,,,,,,,
2021,Sulawesi Barat,Kab. Majene,,,,,,,
2021,Sulawesi Barat,Kab. Mamuju Tengah,,,,,,,11
2021,Maluku,Kota Tual,,0.9,15,0.5,2.3,10,5
2021,Maluku Utara,Kab. Halmahera Utara,,,,,,,
2021,Maluku Utara,Kota Tidore Kepulauan,36.32,6.36,18.16,13.62,9.06,5.47,1.82
2021,Papua,Kab. Jayapura,84.24,0.53,9,160,391,0.14,
2021,Papua,Kab. Nabire,,,,,,,
2021,Papua,Kab. Biak Numfor,27.57,3.73,9.76,3.21,3.58,6.61,
2021,Papua,Kab. Keerom,20,10,40,15,5,5,5
2021,Papua,Kab. Asmat,28.5,3,4.4,2.81,1.29,3.62,1.02
2021,Papua,Kab. Lanny Jaya,,,,,,,
2021,Papua,Kota Jayapura,165.15,46.1,23.21,9.61,6.7,2.5,
2021,Papua Barat,Kab. Manokwari,131.7,,19.8,4.4,4.12,,
2021,Papua Barat,Kab. Sorong Selatan,,,,,,,
2020,Aceh,Kab. Aceh Selatan,19.1,1,2.3,1.4,8.3,2.2,1.4
2020,Aceh,Kab. Aceh Timur,17.35,5,10,8,5,2,2
2020,Aceh,Kab. Aceh Tengah,14991.9,5162.5,16551,11690,10562.5,99999.99,30108.5
2020,Aceh,Kab. Simeulue,26.13,4.36,5.66,3.48,2.18,0.44,1.31
2020,Aceh,Kab. Gayo Lues,,,,,,,
2020,Aceh,Kab. Aceh Jaya,,,,,,,
2020,Aceh,Kab. Bener Meriah,,,,,,,
2020,Aceh,Kota Banda Aceh,186.16,0.56,9.03,45.18,2.31,0,0.05
2020,Aceh,Kota Sabang,1,0.01,0.03,0.03,0.36,0.03,0.31
2020,Aceh,Kota Langsa,16,1.2,14,8,5,2,
